Variable,param,Farm_1,Farm_2,Farm_3,
Yield_type_1,lower,34.66657,34.66657,38.951202247191,
Yield_type_1,upper,56.23922,56.23922,63.1901348314607,
Yield_type_1,distribution,posnorm,posnorm,posnorm,
Yield_type_2,lower,15.01632,15.01632,16.8722696629213,
Yield_type_2,upper,39.42571,39.42571,44.2985505617978,
Yield_type_2,distribution,posnorm,posnorm,posnorm,
Yield_type_3,lower,16.47447,16.47447,18.5106404494382,
Yield_type_3,upper,39.09074,39.09074,43.9221797752809,
Yield_type_3,distribution,posnorm,posnorm,posnorm,
Yield_type_4,lower,31.49508,31.49508,35.3877303370787,
Yield_type_4,upper,54.96869,54.96869,61.7625730337079,
Yield_type_4,distribution,posnorm,posnorm,posnorm,
Yield_type_5,lower,16.72533,16.72533,18.7925056179775,
Yield_type_5,upper,46.46307,46.46307,52.2056966292135,
Yield_type_5,distribution,posnorm,posnorm,posnorm,
Yield_type_6,lower,16.83341,16.83341,18.9139438202247,
Yield_type_6,upper,39.80427,39.80427,44.7238988764045,
Yield_type_6,distribution,posnorm,posnorm,posnorm,
Yield_type_7,lower,32.16160,32.16160,36.13663,
Yield_type_7,upper,55.15145,55.15145,61.9679213483146,
Yield_type_7,distribution,posnorm,posnorm,posnorm,
Yield_type_8,lower,15.81552,15.81552,17.7702471910112,
Yield_type_8,upper,39.57579,39.57579,44.4671797752809,
Yield_type_8,distribution,posnorm,posnorm,posnorm,
Yield_type_9,lower,15.19050,15.19050,17.06798,
Yield_type_9,upper,36.62110,36.62110,41.14730,
Yield_type_9,distribution,posnorm,posnorm,posnorm,
Tomaten_Preis,lower,1.33,1.33,1.33,
Tomaten_Preis,upper,2.75,2.75,2.75,
Tomaten_Preis,distribution,posnorm,posnorm,posnorm,
Saatgut,lower,2.584,2.176,2.176,
Saatgut,upper,2.856,2.312,2.312,
Saatgut,distribution,posnorm,posnorm,posnorm,
Jungepflanzen,lower,4.37,2.944,2.944,
Jungepflanzen,upper,4.84,3.128,3.128,
Jungepflanzen,distribution,posnorm,posnorm,posnorm,
Substrat,lower,3.325,2,2,
Substrat,upper,3.675,5,5,
Substrat,distribution,posnorm,posnorm,posnorm,
Energie_therm,lower,9.5,36.4,66.5,
Energie_therm,upper,10.5,37.8,73.5,
Energie_therm,distribution,posnorm,posnorm,posnorm,
Energie_elek,lower,2.375,18.9,0.975,
Energie_elek,upper,2.625,26.25,1.05,
Energie_elek,distribution,posnorm,posnorm,posnorm,
CO2_H2O_Due,lower,4.085,10,10,
CO2_H2O_Due,upper,4.515,15,15,
CO2_H2O_Due,distribution,posnorm,posnorm,posnorm,
Kordel,lower,0.9025,0.95,0.95,
Kordel,upper,0.9975,1.05,1.05,
Kordel,distribution,posnorm,posnorm,posnorm,
Hummel_Nutzlinge,lower,0.475,2.5,2.5,
Hummel_Nutzlinge,upper,0.525,3.5,3.5,
Hummel_Nutzlinge,distribution,posnorm,posnorm,posnorm,
PSM_chem,lower,0.2185,0.95,0.95,
PSM_chem,upper,0.2415,1.05,1.05,
PSM_chem,distribution,posnorm,posnorm,posnorm,
Heackseln_Entsorgung,lower,0.38,0.19,0.19,
Heackseln_Entsorgung,upper,0.42,0.25,0.25,
Heackseln_Entsorgung,distribution,posnorm,posnorm,posnorm,
Desinfektion,lower,0.0475,0.03,0.06,
Desinfektion,upper,0.0525,0.05,0.12,
Desinfektion,distribution,posnorm,posnorm,posnorm,
Versicherung,lower,0.6175,0.95,1,
Versicherung,upper,0.6825,1,1.5,
Versicherung,distribution,posnorm,posnorm,posnorm,
Arbeit,lower,28,16.2,16.2,
Arbeit,upper,33,21.6,21.6,
Arbeit,distribution,posnorm,posnorm,posnorm,