Description: (),label,variable,distribution,lower,median,upper,
"Coefficient of variation, ratio of the standard deviation to the mean (a measure of relative variability).",coeff. Variation,var_CV,posnorm,5,,20,
Years from the start o the implementation of the intervention to the end.,Project time horizon (years),n_years,const,10,,10,
Discount rate (%),Discount rate (%),discount_rate,posnorm,1,,5,%
"Leistung (Tomaten, Zwischentyp, Rispe, Absatzweg regionaler Lebensmitteleinzelhandel, Lebensmitteleinzelhandel)",Leistung (€/ha),Leistung,norm,685000,,694000,
Direktkosten,"Heizmaterial (70 %Holzhackschnitzel, 30 %Erdgas) (€/ha)",Heizmaterial,norm,95900,,96000,
,Strom(€/ha),Strom,norm,23000,,24000,
,Saat- und Pflanzgut(€/ha),Saat_Planzgut,norm,28000,,29000,
,Matten und Folien(€/ha),Matten_Folien,norm,9200,,9250,
,Düngung und Bewässerung(€/ha),Du_Bewaesserung,norm,11800,,11850,
,C02(€/ha),CO2,const,30000,,30000,
,Pflanzenschutz(€/ha),Pflanzenschutz,norm,5500,,6500,
,Verpackung(€/ha),Verpackung,norm,63500,,64000,
,Transport(€/ha),Transport,norm,29950,,30050,
,Entsorgung(€/ha),Entsorgung,norm,1450,,1500,
,Vermarktungsgebühren (3 %) (€/ha),Vermarktungsgebuehr,norm,20650,,20700,
,Sonstige Betriebsmittel(€/ha),sonstige_Betriebsmittel,norm,7950,,8050,
,"Zinskosten (3 %, 1⁄2 Kulturdauer)(€/ha)",Zinskosten,posnorm,4500,,4600,
Arbeitserledigungskosten,Variable Lohnkosten(€/ha),variable_Kosten,norm,86000,,86050,
,Dienstleistungen(€/ha),Dienstleistungen,norm,6700,,6900,
,Fixe Lohnkosten(€/ha),fix_Lohnkosten,norm,87250,,87300,
Implementationskosten vom Priming,,,,,,,